         16610805 function calls (16597347 primitive calls) in 38.085 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      106    0.001    0.000    0.021    0.000 patches.py:691(_update_patch_transform)
  122/121    0.001    0.000    0.006    0.000 transforms.py:1091(get_points)
      588    0.001    0.000    0.002    0.000 lines.py:1458(set_dash_capstyle)
      588    0.001    0.000    0.004    0.000 lines.py:653(set_data)
       11    0.001    0.000    0.002    0.000 artist.py:1099(<listcomp>)
      240    0.001    0.000    0.015    0.000 markers.py:699(_set_tickleft)
       96    0.001    0.000    0.038    0.000 axis.py:575(_get_gridline)
     5223    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      848    0.001    0.000    0.002    0.000 text.py:1204(set_text)
     2538    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       42    0.001    0.000    0.020    0.000 patches.py:516(draw)
      240    0.001    0.000    0.014    0.000 markers.py:705(_set_tickright)
    259/4    0.001    0.000    0.604    0.151 <frozen importlib._bootstrap_external>:672(exec_module)
  203/192    0.001    0.000    0.007    0.000 transforms.py:1678(__eq__)
       39    0.001    0.000    0.006    0.000 __init__.py:1690(param)
      588    0.001    0.000    0.045    0.000 lines.py:548(set_fillstyle)
      656    0.001    0.000    0.003    0.000 fromnumeric.py:2255(amin)
      424    0.001    0.000    0.019    0.000 transforms.py:2368(transform_affine)
      155    0.001    0.000    0.001    0.000 pyparsing.py:868(__init__)
       92    0.001    0.000    0.036    0.000 axis.py:440(_get_gridline)
      588    0.001    0.000    0.050    0.000 lines.py:1156(set_marker)
      304    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(__exit__)
      224    0.001    0.000    0.012    0.000 markers.py:713(_set_tickup)
      132    0.001    0.000    0.025    0.000 lines.py:1310(update_from)
     1056    0.001    0.000    0.009    0.000 artist.py:884(<listcomp>)
      224    0.001    0.000    0.014    0.000 markers.py:719(_set_tickdown)
      409    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      816    0.001    0.000    0.002    0.000 lines.py:1233(set_xdata)
     2653    0.001    0.000    0.001    0.000 weakref.py:125(_commit_removals)
  572/571    0.001    0.000    0.003    0.000 transforms.py:1763(transform_affine)
      828    0.001    0.000    0.021    0.000 transforms.py:1173(__add__)
     1361    0.001    0.000    0.001    0.000 sre_parse.py:163(__getitem__)
      128    0.001    0.000    0.004    0.000 ticker.py:1703(_staircase)
     1214    0.001    0.000    0.002    0.000 <string>:12(__new__)
      153    0.001    0.000    0.001    0.000 text.py:64(get_rotation)
  278/214    0.001    0.000    0.002    0.000 units.py:125(get_converter)
      259    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      588    0.001    0.000    0.002    0.000 lines.py:1419(set_dash_joinstyle)
      588    0.001    0.000    0.004    0.000 lines.py:753(set_transform)
     3833    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      388    0.001    0.000    0.002    0.000 shape_base.py:9(atleast_1d)
      656    0.001    0.000    0.003    0.000 fromnumeric.py:2154(amax)
     2137    0.001    0.000    0.001    0.000 inspect.py:2723(<genexpr>)
      405    0.001    0.000    0.004    0.000 artist.py:1116(get_valid_values)
      832    0.001    0.000    0.002    0.000 lines.py:1243(set_ydata)
  978/555    0.001    0.000    0.011    0.000 transforms.py:2322(_invalidate_internal)
     1124    0.001    0.000    0.003    0.000 artist.py:192(convert_xunits)
       96    0.001    0.000    0.029    0.000 artist.py:667(set_clip_path)
      890    0.001    0.000    0.001    0.000 font_manager.py:974(<listcomp>)
      190    0.001    0.000    0.009    0.000 font_manager.py:1228(findfont)
       28    0.001    0.000    0.002    0.000 linalg.py:458(inv)
      588    0.001    0.000    0.001    0.000 lines.py:1472(set_solid_capstyle)
      180    0.001    0.000    0.005    0.000 transforms.py:1448(transform_path_non_affine)
      940    0.001    0.000    0.005    0.000 axis.py:291(_set_artist_props)
      373    0.001    0.000    0.007    0.000 rcsetup.py:371(validate_color)
   187/93    0.001    0.000    0.014    0.000 sre_parse.py:407(_parse_sub)
      612    0.001    0.000    0.002    0.000 lines.py:640(axes)
       24    0.001    0.000    0.002    0.000 ticker.py:725(_set_format)
  304/302    0.001    0.000    0.177    0.001 <frozen importlib._bootstrap>:553(module_from_spec)
  900/420    0.001    0.000    0.031    0.000 _base.py:765(get_yaxis_transform)
    96/88    0.001    0.000    0.056    0.001 axis.py:561(_get_tick2line)
      321    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:146(__enter__)
      104    0.001    0.000    0.089    0.001 axis.py:249(draw)
       48    0.001    0.000    0.242    0.005 axis.py:729(cla)
       96    0.001    0.000    0.019    0.000 axis.py:516(_get_text1)
